Qualification,HIGH,MEDIUM,LOW,BORDERLINE,STANDBY
ATAR score,96.00-100.00,91.00-95.99,84.00-90.99,81.00-83.99,78.00-80.99
Advanced Certificate of Secondary Education Examination,Division I,,,Division II,Division III
Advanced Placement International Diploma (Average of 5 APs),4.51-5.00,4.00-4.50,3.34-3.99,3.00-3.33,2.83-2.99
BTEC Diploma,D*D*D*,D*D*D,D*DD,DDD - DDM,DMM
International Baccalaureat,9.70-10.00,9.30-9.69,8.83-9.29,8.63-8.82,8.30-8.62
Baccalauréat Général,16.60 - 20.00,15.10 - 16.59,14.10 - 15.09,13.30 - 14.09,12.80 - 13.29
Bagrut - Average of Unit 5 subjects,95.00%-100.00%,90.00%-94.99%,87.00%-89.99%,85.00%-86.99%,84.00%-84.99%
Cambridge GCE A-Levels at H2 Level,,AAA,AAB / ABB,BBB,BBC
Certificado de Conclusão de Ensino Médio,,,95.00%-100.00%,90.00%-94.99%,85.00%-89.99%
Diploma Nível Secundário de Educação,19.00-20.00,17.00-18.99,15.00-16.99,14.00-14.99,13.34-13.99
Diploma di Esame di Stato,100,89.00-99.99,83.00-88.99,78.00-82.99,76.00-77.99
Diploma van Secundair Onderwijs - Algemeen Secundair Onderwijs / Certificat d'Enseignement Secondaire Supérieur - Enseignement Général / Abschlusszeugnis der Oberstufe des Sekundarunterrichts - Allgemeinbildender Unterricht,,78.00%-100.00%,73.00%-77.99%,70.00-72.99%,67.00%-69.99%
Diplôme de fin d'études secondaires,52.00-60.00,49.00-51.99,45.00-48.99,43.00-44.99,42.00-42.99
European Baccalaureate,91.66-100.00,87.27-91.65,83.80-87.26,82.10-83.79,80.30 - 82.09
Érettségi,4.90-5.00,4.70-4.89,4.30-4.69,4.00-4.29,3.60-3.99
Five Category A subjects,4.70-5.00,4.00-4.69,3.40-3.99,3.00-3.39,2.60-2.99
General Certificate of Education Advanced Level,,AAA,AAB - ABB,BBB,BBC
Higher School Certificate - 3 A levels,A*A*A* / A*A*A,A*AA / AAA,AAB / ABB,BBB,BBC
Högskoleförberedande Examen - Academic Stream,19.25-20.00,18.00-19.24,16.75-17.99,16.25-16.74,15.50-16.24
IB Diploma Programme,41.00-45.00,38.00-40.99,35.00-37.99,34.00-34.99,32.00-33.99
International A-Levels,A*A*A - A*A*A*,AAA - A*AA,ABB - AAB,BBB,BBC
Irish Leaving Certificate (6 Higher Levels),H1 H1 H1 H1 H1 H1 or H1 H1 H1 H1 H1 H2,H1 H1 H1 H1 H2 H2 or H1 H1 H1 H2 H2 H2,H1 H1 H2 H2 H2 H2 or H1 H2 H2 H2 H2 H2, H2 H2 H2 H2 H2 H2, H2 H2 H2 H2 H2 H3
Matriculation Certificate,AAAAA / AAAAB,AAABB / AABBB,ABBBB,BBBBB,BBBBC / BBBCC
Matura,,4.30-5.00,3.80-4.29,3.50-3.79,3.30-3.49
Maturitetno Spričevalo,30.00-34.00,26.00-29.99,22.00-25.99,21.00-21.99,20.00-20.99
Maturitná Skúška,80.00-100.00%,70.00%-79.99%,60.00%-69.99%,55.00%-59.99%,50.00%-54.99%
National Certificate of Educational Achievement (NCEA) Level 3,NCEA Level 3 with Excellence,,NCEA Level 3 with Merit,,NCEA Level 3 Achieved
National Senior Certificate (excl. Life Orientation),,7,6.60-6.99,6.40-6.59,6.20-6.39
Reifeprüfung / Matura,,Mit ausgezeichnetem Erflog bestanden or an average of 1.0-1.5,,Mit gutem Erflog bestanden or an average of 1.5-2.0,Bestanden, 2.0-3.0
STPM - 4 Subjects,3.84-4.00,3.58-3.83,3.33-3.57,3.17-3.32,3.08-3.16
Scottish 2 Advanced Highers and 3 Highers,AA and AAA,AA and AAB / AA and ABB / AA and BBB,AB and AAA / AB and AAB / AB and ABB / AB and BBB,BB and AAA,BB and AAB
Secondary School Diploma,92.00-%100.00%,86.00%-91.99%,80.00%-85.99%,75.00%-79.99%,71.00%-74.99%
Sri Lankan 3 A-Levels,A*A*A,A*AA / AAA,AAB,ABB,BBB
Studentereksamen / Hojere Forberedelseseksamen,10.90-12.70,9.70-10.89,8.50-9.69,7.90-8.40,6.10-7.89
Stúdentspróf,8.75-10.00,8.20-8.74,7.75-8.19,7.50-7.74,7.00-7.49
Svjedodžba o Maturi,4.00-5.00,3.80-3.99,3.60-3.79,3.40-3.59,3.34-3.39
Swiadectwo Dojrzalosci (3 Extended Level Subjects),93.00%-100.00%,90.00%-92.99%,86.50%-89.99%,85.00%-86.49%,83.00%-84.99%
Swiss Matura,5.60-6.00,5.20-5.59,4.70-5.19,4.70-4.89,4.30-4.49
Título de Bachiller,9.40-10.00,8.70-9.39,8.20-8.69,8.00-8.19,7.70-7.99
VWO,8.70-10.00,8.00-8.69,7.60-7.99,,7.40-7.59
Vitnemål fra den Videregående Skole,5.50-6.00,5.00-5.49,4.31-4.99,4.00-4.30,3.83-3.99
Vysvedcení o Maturitní Zkoušce,"1,1,1 / 1,1,2","1,2,2","2,2,2","2,2,3","2,3,3"
Ylioppilastutkinto / Studentexamen,EEEE or above,EEMM / EEEM,EMMM,MMMM,MMMC
Zeugnis der Allgemeinen Hochschulreife / Abitur,1.00-1.49,1.50-1.89,1.90-2.19,2.20-2.39,2.40-2.49
Zimbabwe General Certificate of Education (3 Advanced Levels),AAA or AAB / AAB,,ABB / BBB,BBC,BCC

